dataset_id,zone_id,municipality,province,candidate_distributor,candidate_stage,primary_exact_sources,secondary_exact_sources,independent_source_families,municipality_exact,legal_entity_confirmed,review_decision,import_eligible,source_ids,next_action
aragon,municipality:huesca::abiego,Abiego,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::abizanda,Abizanda,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::adahuesca,Adahuesca,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::aguero,Agüero,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::aisa,Aisa,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::albalate_de_cinca,Albalate de Cinca,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::albalatillo,Albalatillo,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::albelda,Albelda,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::albero_alto,Albero Alto,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::albero_bajo,Albero Bajo,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::alberuela_de_tubo,Alberuela de Tubo,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::alcala_de_gurrea,Alcalá de Gurrea,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::alcala_del_obispo,Alcalá del Obispo,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::alcampell,Alcampell,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::alcolea_de_cinca,Alcolea de Cinca,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::alcubierre,Alcubierre,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::alerre,Alerre,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::alfantega,Alfántega,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::almudevar,Almudévar,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::almunia_de_san_juan,Almunia de San Juan,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::almuniente,Almuniente,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::alquezar,Alquézar,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::altorricon,Altorricón,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::angues,Angüés,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::anso,Ansó,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::antillon,Antillón,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::aragues_del_puerto,Aragüés del Puerto,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::argavieso,Argavieso,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::arguis,Arguis,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::aren,Arén,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::ayerbe,Ayerbe,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::azanuy_alins,Azanuy-Alins,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::azara,Azara,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::azlor,Azlor,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::ainsa_sobrarbe,Aínsa-Sobrarbe,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::bailo,Bailo,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::baldellou,Baldellou,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::ballobar,Ballobar,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::banastas,Banastás,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::barbastro,Barbastro,Huesca,AB Energía / Eléctrica de Barbastro (entidad jurídica pendiente),strong_secondary_candidate,0,3,1,yes,no,pending,no,ser_barbastro_network_2025_05;ser_barbastro_network_2025_10;ser_barbastro_network_2026_02,"Obtener fuente primaria del operador, regulador o boletín oficial que confirme entidad y ámbito."
aragon,municipality:huesca::barbues,Barbués,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::barbunales,Barbuñales,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::baells,Baélls,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::belver_de_cinca,Belver de Cinca,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
aragon,municipality:huesca::benabarre,Benabarre,Huesca,,regional_context_only,0,0,0,no,no,pending,no,edistribucion_aragon_regional_official,Buscar fuente primaria municipal reproducible; no inferir desde presencia regional.
