dataset_id,province,municipio,zone_id_candidate,current_distributor_hint,current_confidence,review_status,bulk_import_allowed,evidence_required,safe_next_step
extremadura,Badajoz,Acedera,municipality:extremadura::acedera,"I-DE Redes Eléctricas Inteligentes, S.A.U.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Aceuchal,municipality:extremadura::aceuchal,"Edistribución Redes Digitales, S.L.U. | Eléctrica Santa Marta y Villalba, S.L.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Ahillones,municipality:extremadura::ahillones,"Edistribución Redes Digitales, S.L.U.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Alange,municipality:extremadura::alange,"Edistribución Redes Digitales, S.L.U. | Hijos de Jacinto Guillén, D.E., S.L.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Alburquerque,municipality:extremadura::alburquerque,"Edistribución Redes Digitales, S.L.U. | I-DE Redes Eléctricas Inteligentes, S.A.U.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Alconchel,municipality:extremadura::alconchel,"Edistribución Redes Digitales, S.L.U.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Alconera,municipality:extremadura::alconera,"Alconera de Electricidad, S.L.U. | Edistribución Redes Digitales, S.L.U.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Aljucén,municipality:extremadura::aljucen,"I-DE Redes Eléctricas Inteligentes, S.A.U.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Almendral,municipality:extremadura::almendral,"Edistribución Redes Digitales, S.L.U.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Almendralejo,municipality:extremadura::almendralejo,"Edistribución Redes Digitales, S.L.U.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Arroyo de San Serván,municipality:extremadura::arroyo_de_san_servan,"Edistribución Redes Digitales, S.L.U. | Eléctrica San Serván, S.L.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Atalaya,municipality:extremadura::atalaya,"Edistribución Redes Digitales, S.L.U.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Azuaga,municipality:extremadura::azuaga,"Distribuidora Eléctrica de Granja de Torrehermosa, S.L. | Edistribución Redes Digitales, S.L.U. | Eléctrica de Malcocinado, S.L. | I-DE Redes Eléctricas Inteligentes, S.A.U.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Badajoz,municipality:extremadura::badajoz,"Edistribución Redes Digitales, S.L.U. | I-DE Redes Eléctricas Inteligentes, S.A.U.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Barcarrota,municipality:extremadura::barcarrota,"Edistribución Redes Digitales, S.L.U.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Baterno,municipality:extremadura::baterno,"I-DE Redes Eléctricas Inteligentes, S.A.U.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Benquerencia de la Serena,municipality:extremadura::benquerencia_de_la_serena,"I-DE Redes Eléctricas Inteligentes, S.A.U.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Berlanga,municipality:extremadura::berlanga,"Edistribución Redes Digitales, S.L.U.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Bienvenida,municipality:extremadura::bienvenida,"Edistribución Redes Digitales, S.L.U.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Bodonal de la Sierra,municipality:extremadura::bodonal_de_la_sierra,"Edistribución Redes Digitales, S.L.U. | Luis Rangel y Hermanos, S.A.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Burguillos del Cerro,municipality:extremadura::burguillos_del_cerro,"Edistribución Redes Digitales, S.L.U.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Cabeza del Buey,municipality:extremadura::cabeza_del_buey,"I-DE Redes Eléctricas Inteligentes, S.A.U. | La Ernestina Energía, S.L.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Cabeza la Vaca,municipality:extremadura::cabeza_la_vaca,"Distribuidora Eléctrica Monesterio, S.L.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Calamonte,municipality:extremadura::calamonte,"Edistribución Redes Digitales, S.L.U. | Eléctrica San Serván, S.L.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Calera de León,municipality:extremadura::calera_de_leon,"Distribuidora Eléctrica Monesterio, S.L.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Calzadilla de los Barros,municipality:extremadura::calzadilla_de_los_barros,"Edistribución Redes Digitales, S.L.U.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
extremadura,Badajoz,Campanario,municipality:extremadura::campanario,"I-DE Redes Eléctricas Inteligentes, S.A.U.",verified_partial,already_in_production,no,Ya existe pista productiva saneada en distributor_hints.json.,Mantener como verified_partial prudente; no afirmar exclusividad de red.
