dataset_id,province,municipality_rows,local_exception_review,high_boundary_review,skip_already_productive,production_recommendation
andalucia,Almería,103,103,0,0,do_not_import_province_until_exception_review
andalucia,Cádiz,45,45,0,0,do_not_import_province_until_exception_review
andalucia,Córdoba,77,77,0,0,do_not_import_province_until_exception_review
andalucia,Granada,174,174,0,0,do_not_import_province_until_exception_review
andalucia,Huelva,80,80,0,0,do_not_import_province_until_exception_review
andalucia,Jaén,98,98,0,0,do_not_import_province_until_exception_review
andalucia,Málaga,103,103,0,0,do_not_import_province_until_exception_review
andalucia,Sevilla,106,106,0,0,do_not_import_province_until_exception_review
aragon,Albacete,1,0,1,0,do_not_import_province_until_exception_review
aragon,Guadalajara,1,0,1,0,do_not_import_province_until_exception_review
aragon,Huesca,203,0,203,0,do_not_import_province_until_exception_review
aragon,Navarra,1,0,0,1,do_not_import_province_until_exception_review
aragon,Teruel,238,0,238,0,do_not_import_province_until_exception_review
aragon,Toledo,1,0,1,0,do_not_import_province_until_exception_review
aragon,Zaragoza,293,0,293,0,do_not_import_province_until_exception_review
aragon,Ávila,1,0,1,0,do_not_import_province_until_exception_review
catalunya,Barcelona,311,311,0,0,do_not_import_province_until_exception_review
catalunya,Girona,221,221,0,0,do_not_import_province_until_exception_review
catalunya,Lleida,232,232,0,0,do_not_import_province_until_exception_review
catalunya,Tarragona,184,184,0,0,do_not_import_province_until_exception_review
extremadura,Badajoz,165,165,0,0,do_not_import_province_until_exception_review
extremadura,Cáceres,223,223,0,0,do_not_import_province_until_exception_review
