query_id,dataset_id,province,query_type,query,purpose,allowed_use
q0001,andalucia,Almería,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Almería""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0002,andalucia,Almería,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Almería""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0003,andalucia,Almería,official_local_distributor_zone,"""distribuidora eléctrica"" ""Almería"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0004,andalucia,Almería,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Almería"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0005,andalucia,Cádiz,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Cádiz""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0006,andalucia,Cádiz,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Cádiz""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0007,andalucia,Cádiz,official_local_distributor_zone,"""distribuidora eléctrica"" ""Cádiz"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0008,andalucia,Cádiz,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Cádiz"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0009,andalucia,Córdoba,cnmc_censo_local_distributors,"CNMC censo distribuidoras electricidad ""Córdoba""",Buscar distribuidoras locales registradas asociadas a la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0010,andalucia,Córdoba,apyde_local_distributors,"site:apyde.com distribuidora electricidad ""Córdoba""",Buscar fichas APYDE de pequeñas distribuidoras en la provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0011,andalucia,Córdoba,official_local_distributor_zone,"""distribuidora eléctrica"" ""Córdoba"" ""zona de distribución""",Buscar webs oficiales de distribuidoras locales con zonas de distribución.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
q0012,andalucia,Córdoba,public_notice_local_distributor,"""DOG"" OR ""BOJA"" OR ""BOA"" OR ""DOGC"" ""Córdoba"" ""distribuidora""",Buscar anuncios oficiales con distribuidora y municipio/provincia.,"Usar solo municipio/zona + distribuidora + URL + nivel de confianza. No copiar CUPS, direcciones, coordenadas ni infraestructura."
