dataset_id,zone_id,municipio,province,current_confidences,current_distributors,source_names,recommendation,reason,next_step
galicia,municipality:a_coruna::a_bana,A Baña,A Coruña,verified_partial,"Industrial Barcalesa, S.L.",APYDE ficha pública,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::a_capela,A Capela,A Coruña,verified_partial,"Electra de Cabalar, S.L.",APYDE ficha pública,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::a_coruna,A Coruña,A Coruña,verified_partial,"UFD Distribución Electricidad, S.A.",DOG 9/2024 UFD en A Coruña,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::a_laracha,A Laracha,A Coruña,verified_partial,Hidroeléctrica de Laracha S.L. | Unión Distribuidores Electricidad S.A. (Udesa),APYDE ficha pública,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::a_pobra_do_caraminal,A Pobra do Caramiñal,A Coruña,verified_partial,"UFD Distribución Electricidad, S.A.",DOG 220/2024 UFD en A Pobra do Caramiñal,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::abegondo,Abegondo,A Coruña,verified_partial,Unión Distribuidores Electricidad S.A. (Udesa),APYDE ficha pública,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::ames,Ames,A Coruña,verified_partial,"Central Eléctrica Industrial, S.L.U.",APYDE ficha pública,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::aranga,Aranga,A Coruña,verified_partial,"UFD Distribución Electricidad, S.A.",DOG 51/2026 UFD en Aranga,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::ares,Ares,A Coruña,verified_partial,"UFD Distribución Electricidad, S.A.",DOG 52/2026 UFD en Ares,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::arteixo,Arteixo,A Coruña,verified_partial,Hidroeléctrica de Laracha S.L.,APYDE ficha pública,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::arzua,Arzúa,A Coruña,verified_partial,Unión Distribuidores Electricidad S.A. (Udesa),APYDE ficha pública,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::as_pontes_de_garcia_rodriguez,As Pontes de García Rodríguez,A Coruña,verified_partial,"Distribuidora Eléctrica Niebla, S.L. | Electra de Cabalar, S.L.",APYDE ficha pública,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::as_somozas,As Somozas,A Coruña,verified_partial,"Distribuidora Eléctrica Niebla, S.L.",APYDE ficha pública,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::bergondo,Bergondo,A Coruña,verified_partial,"UFD Distribución Electricidad, S.A.",DOG 66/2026 UFD en Bergondo,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::betanzos,Betanzos,A Coruña,verified_partial,"UFD Distribución Electricidad, S.A.",DOG 156/2025 UFD en Betanzos,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::boimorto,Boimorto,A Coruña,verified_partial,"UFD Distribución Electricidad, S.A.",DOG 52/2026 UFD en Boimorto,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::boiro,Boiro,A Coruña,verified_partial,"UFD Distribución Electricidad, S.A.",DOG 80/2026 UFD en Boiro,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::boqueixon,Boqueixón,A Coruña,verified_partial,Eléctrica de Gres S.L. | Unión Distribuidores Electricidad S.A. (Udesa),APYDE ficha pública,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::brion,Brión,A Coruña,verified_partial,"UFD Distribución Electricidad, S.A.",DOG 185/2025 UFD en Brión,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::cabana_de_bergantinos,Cabana de Bergantiños,A Coruña,verified_partial,"UFD Distribución Electricidad, S.A.",DOG 179/2025 UFD en Cabana de Bergantiños,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::cabanas,Cabanas,A Coruña,verified_partial,"Electra de Cabalar, S.L. | Eléctrica de Cabañas S.L.",APYDE ficha pública,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::camarinas,Camariñas,A Coruña,verified_partial,"Electra del Gayoso, S.L.",APYDE ficha pública,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::cambre,Cambre,A Coruña,verified_partial,"UFD Distribución Electricidad, S.A.",DOG 64/2026 UFD en Cambre,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::carballo,Carballo,A Coruña,verified_partial,Hidroeléctrica de Laracha S.L. | Unión Distribuidores Electricidad S.A. (Udesa),APYDE ficha pública,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::carino,Cariño,A Coruña,verified_partial,"UFD Distribución Electricidad, S.A.",DOG 35/2026 UFD en Cariño,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::carnota,Carnota,A Coruña,verified_partial,"UFD Distribución Electricidad, S.A.",DOG 93/2021 UFD en Carnota,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::carral,Carral,A Coruña,verified_partial,Unión Distribuidores Electricidad S.A. (Udesa),APYDE ficha pública,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::cedeira,Cedeira,A Coruña,verified_partial,"UFD Distribución Electricidad, S.A.",DOG 139/2024 UFD en Cedeira,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::cee,Cee,A Coruña,verified_partial,"UFD Distribución Electricidad, S.A.",DOG 42/2025 UFD en Cee,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::cerceda,Cerceda,A Coruña,verified_partial,Unión Distribuidores Electricidad S.A. (Udesa),APYDE ficha pública,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::cerdido,Cerdido,A Coruña,verified_partial,Electra del Narahío S.A.,APYDE ficha pública,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::coiros,Coirós,A Coruña,verified_partial,"UFD Distribución Electricidad, S.A.",DOG 36/2024 UFD en Coirós,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::corcubion,Corcubión,A Coruña,verified_partial,"UFD Distribución Electricidad, S.A.",DOG 43/2024 UFD en Corcubión,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::coristanco,Coristanco,A Coruña,verified_partial,"UFD Distribución Electricidad, S.A.",DOG 160/2025 UFD en Coristanco,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
galicia,municipality:a_coruna::culleredo,Culleredo,A Coruña,verified_partial,"UFD Distribución Electricidad, S.A.",DOG 151/2025 UFD en Culleredo,keep_verified_partial,Mantener como pista parcial verificada.,Solo mejorar si aparece fuente oficial más directa.
