distributor,source_url,zones_raw,source_name,source_type,confidence,notes
Compañía de Electrificación S.L.,https://www.apyde.com/electrificacion-sl/,Illa de Arousa – Vilanova de Arousa,APYDE ficha pública,sector_association_public,verified_partial,Fuente pública de asociación sectorial. Revisar concellos antes de pasar a producción.
"Electra de Cabalar, S.L.",https://www.apyde.com/electracabalar/,As Pontes – A Capela – Cabañas – Fene – Neda – San Sadurniño,APYDE ficha pública,sector_association_public,verified_partial,Fuente pública de asociación sectorial. Revisar concellos antes de pasar a producción.
Electra de Zas S.L.,https://www.apyde.com/electra-zas/,Zas,APYDE ficha pública,sector_association_public,verified_partial,Fuente pública de asociación sectorial. Revisar concellos antes de pasar a producción.
"Electra del Gayoso, S.L.",https://www.apyde.com/electra-gayoso/,Vimianzo – Camariñas,APYDE ficha pública,sector_association_public,verified_partial,Fuente pública de asociación sectorial. Revisar concellos antes de pasar a producción.
Electra del Narahío S.A.,https://www.apyde.com/electra-narahio/,San Sadurniño – Narón – Neda – Moeche – Cerdido – Valdoviño,APYDE ficha pública,sector_association_public,verified_partial,Fuente pública de asociación sectorial. Revisar concellos antes de pasar a producción.
"Electra do Foxo, S.L.",https://www.apyde.com/electra-foxo/,Vimianzo – Laxe – Zas,APYDE ficha pública,sector_association_public,verified_partial,Fuente pública de asociación sectorial. Revisar concellos antes de pasar a producción.
Eléctrica de Cabañas S.L.,https://www.apyde.com/electrica-cabanas/,Cabañas – Parroquias San Andrés de Cabañas – San Esteban de Erines,APYDE ficha pública,sector_association_public,verified_partial,Fuente pública de asociación sectorial. Revisar concellos antes de pasar a producción.
"Eléctrica de Cantoña, S.L.",https://www.apyde.com/electrica-cantona/,Paderne de Allariz – Baños de Molgas – Xunqueira de Ambía (Ourense) Ponteareas (Ponvedra),APYDE ficha pública,sector_association_public,verified_partial,Fuente pública de asociación sectorial. Revisar concellos antes de pasar a producción.
Eléctrica de Castro Caldelas S.L.,https://www.apyde.com/castro-caldelas/,Castro Caldelas – A Teixeira,APYDE ficha pública,sector_association_public,verified_partial,Fuente pública de asociación sectorial. Revisar concellos antes de pasar a producción.
Eléctrica de Gres S.L.,https://www.apyde.com/electrica-gres/,Vila de Cruces – Silleda (Pontevedra) – Boqueixón (A Coruña),APYDE ficha pública,sector_association_public,verified_partial,Fuente pública de asociación sectorial. Revisar concellos antes de pasar a producción.
Eléctrica Los Molinos S.L.,https://www.apyde.com/elemol/,Pontecaldelas – Pontevedra,APYDE ficha pública,sector_association_public,verified_partial,Fuente pública de asociación sectorial. Revisar concellos antes de pasar a producción.
Fuciños Rivas S.L.,https://www.apyde.com/rivas-sl/,Melide – Santiso,APYDE ficha pública,sector_association_public,verified_partial,Fuente pública de asociación sectorial. Revisar concellos antes de pasar a producción.
Hidroeléctrica de Laracha S.L.,https://www.apyde.com/hidroelectrica-laracha/,Laracha – Carballo – Arteixo,APYDE ficha pública,sector_association_public,verified_partial,Fuente pública de asociación sectorial. Revisar concellos antes de pasar a producción.
Hidroeléctrica del Arnego S.L.,https://www.apyde.com/hidroelectrica-arnego/,Lalin – Agolada,APYDE ficha pública,sector_association_public,verified_partial,Fuente pública de asociación sectorial. Revisar concellos antes de pasar a producción.
Hidroeléctrica José Matanza García S. L.,https://www.apyde.com/matanza-garcia/,Carballedo (Lugo) A Peroxa – Vilamarín (Ourense),APYDE ficha pública,sector_association_public,verified_partial,Fuente pública de asociación sectorial. Revisar concellos antes de pasar a producción.
"Industrial Barcalesa, S.L.",https://www.apyde.com/industrial-barcalesa/,Mazaricos – Negreira – Santa Comba – A Baña,APYDE ficha pública,sector_association_public,verified_partial,Fuente pública de asociación sectorial. Revisar concellos antes de pasar a producción.
"San Miguel 2000, Distribuición S.L.",https://www.apyde.com/san-miguel/,Verea – Pontedeva – Quintela de Leirado – Padrenda,APYDE ficha pública,sector_association_public,verified_partial,Fuente pública de asociación sectorial. Revisar concellos antes de pasar a producción.
Sociedad Electricista de Tui S.A.,https://www.apyde.com/seta/,Tui – Gondomar – Tomiño – Baiona – Salceda de Caselas,APYDE ficha pública,sector_association_public,verified_partial,Fuente pública de asociación sectorial. Revisar concellos antes de pasar a producción.
Unión Distribuidores Electricidad S.A. (Udesa),https://www.apyde.com/udesa/,Abegondo – Arzúa – Boqueixón – Carballo – Carral – Cerceda – Cesuras – Frades – Laracha – Mesía – O Pino – Ordes – Oroso – Santiago – Tordoia – Touro – Vedra,APYDE ficha pública,sector_association_public,verified_partial,Fuente pública de asociación sectorial. Revisar concellos antes de pasar a producción.
