municipio,province,dataset_id,zone_id,candidate_distributor,confidence,source_name,source_url,source_type,review_status,source_zone_text,notes
A Baña,A Coruña,galicia,municipality:a_coruna::a_bana,"Industrial Barcalesa, S.L.",verified_partial,APYDE ficha pública,https://www.apyde.com/industrial-barcalesa/,sector_association_public,matched_apyde,Mazaricos – Negreira – Santa Comba – A Baña,APYDE lista esta zona de distribución. Revisar antes de pasar a producción.
A Capela,A Coruña,galicia,municipality:a_coruna::a_capela,"Electra de Cabalar, S.L.",verified_partial,APYDE ficha pública,https://www.apyde.com/electracabalar/,sector_association_public,matched_apyde,As Pontes – A Capela – Cabañas – Fene – Neda – San Sadurniño,APYDE lista esta zona de distribución. Revisar antes de pasar a producción.
A Laracha,A Coruña,galicia,municipality:a_coruna::a_laracha,Hidroeléctrica de Laracha S.L.,verified_partial,APYDE ficha pública,https://www.apyde.com/hidroelectrica-laracha/,sector_association_public,matched_apyde_manual_alias,Laracha – Carballo – Arteixo,APYDE usa 'Laracha'. Se cruza manualmente con 'A Laracha'. Revisar antes de producción.
A Laracha,A Coruña,galicia,municipality:a_coruna::a_laracha,Unión Distribuidores Electricidad S.A. (Udesa),verified_partial,APYDE ficha pública,https://www.apyde.com/udesa/,sector_association_public,matched_apyde_manual_alias,Abegondo – Arzúa – Boqueixón – Carballo – Carral – Cerceda – Cesuras – Frades – Laracha – Mesía – O Pino – Ordes – Oroso – Santiago – Tordoia – Touro – Vedra,APYDE usa 'Laracha'. Se cruza manualmente con 'A Laracha'. Revisar antes de producción.
Abegondo,A Coruña,galicia,municipality:a_coruna::abegondo,Unión Distribuidores Electricidad S.A. (Udesa),verified_partial,APYDE ficha pública,https://www.apyde.com/udesa/,sector_association_public,matched_apyde,Abegondo – Arzúa – Boqueixón – Carballo – Carral – Cerceda – Cesuras – Frades – Laracha – Mesía – O Pino – Ordes – Oroso – Santiago – Tordoia – Touro – Vedra,APYDE lista esta zona de distribución. Revisar antes de pasar a producción.
Arteixo,A Coruña,galicia,municipality:a_coruna::arteixo,Hidroeléctrica de Laracha S.L.,verified_partial,APYDE ficha pública,https://www.apyde.com/hidroelectrica-laracha/,sector_association_public,matched_apyde,Laracha – Carballo – Arteixo,APYDE lista esta zona de distribución. Revisar antes de pasar a producción.
Arzúa,A Coruña,galicia,municipality:a_coruna::arzua,Unión Distribuidores Electricidad S.A. (Udesa),verified_partial,APYDE ficha pública,https://www.apyde.com/udesa/,sector_association_public,matched_apyde,Abegondo – Arzúa – Boqueixón – Carballo – Carral – Cerceda – Cesuras – Frades – Laracha – Mesía – O Pino – Ordes – Oroso – Santiago – Tordoia – Touro – Vedra,APYDE lista esta zona de distribución. Revisar antes de pasar a producción.
As Pontes de García Rodríguez,A Coruña,galicia,municipality:a_coruna::as_pontes_de_garcia_rodriguez,"Electra de Cabalar, S.L.",verified_partial,APYDE ficha pública,https://www.apyde.com/electracabalar/,sector_association_public,matched_apyde_manual_alias,As Pontes – A Capela – Cabañas – Fene – Neda – San Sadurniño,APYDE usa 'As Pontes'. Se cruza manualmente con 'As Pontes de García Rodríguez'. Revisar antes de producción.
Boqueixón,A Coruña,galicia,municipality:a_coruna::boqueixon,Eléctrica de Gres S.L.,verified_partial,APYDE ficha pública,https://www.apyde.com/electrica-gres/,sector_association_public,matched_apyde,Vila de Cruces – Silleda (Pontevedra) – Boqueixón (A Coruña),APYDE lista esta zona de distribución. Revisar antes de pasar a producción.
Boqueixón,A Coruña,galicia,municipality:a_coruna::boqueixon,Unión Distribuidores Electricidad S.A. (Udesa),verified_partial,APYDE ficha pública,https://www.apyde.com/udesa/,sector_association_public,matched_apyde,Abegondo – Arzúa – Boqueixón – Carballo – Carral – Cerceda – Cesuras – Frades – Laracha – Mesía – O Pino – Ordes – Oroso – Santiago – Tordoia – Touro – Vedra,APYDE lista esta zona de distribución. Revisar antes de pasar a producción.
