municipio,province,candidate_distributor,confidence,source_name,source_url,source_type,review_status,notes
Dumbría,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 70/2026 UFD en Dumbría,https://www.xunta.gal/dog/Publicados/2026/20260416/AnuncioG0763-240326-0006_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con solicitante/promotora UFD. No afirma exclusividad total.
Cabana de Bergantiños,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 179/2025 UFD en Cabana de Bergantiños,https://www.xunta.gal/dog/Publicados/2025/20250917/AnuncioG0763-270825-0010_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con solicitante/promotora UFD. No afirma exclusividad total.
Rianxo,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 49/2026 UFD en Rianxo,https://www.xunta.gal/dog/Publicados/2026/20260313/AnuncioG0763-200226-0008_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotor UFD. No afirma exclusividad total.
Ourense,Ourense,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 38/2026 UFD en Ourense,https://www.xunta.gal/dog/Publicados/2026/20260226/AnuncioG0763-040226-0011_es.html,official_public_notice,matched_dog_url_seed,DOG identifica infraestructura de distribución eléctrica en el término municipal de Ourense promovida por UFD. No afirma exclusividad total.
Boiro,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 80/2026 UFD en Boiro,https://www.xunta.gal/dog/Publicados/2026/20260430/AnuncioG0763-090426-0011_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con solicitante/promotora UFD. No afirma exclusividad total.
Noia,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 151/2025 UFD en Noia,https://www.xunta.gal/dog/Publicados/2025/20250808/AnuncioG0763-170725-0007_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
A Pobra do Caramiñal,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 220/2024 UFD en A Pobra do Caramiñal,https://www.xunta.gal/dog/Publicados/2024/20241114/AnuncioG0763-211024-0034_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
Porto do Son,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 60/2026 UFD en Porto do Son,https://www.xunta.gal/dog/Publicados/2026/20260331/AnuncioG0763-090326-0009_es.html,official_public_notice,matched_dog_url_seed,DOG identifica ayuntamiento incluido en actuación de UFD junto con otros municipios. No afirma exclusividad total.
Ferrol,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 63/2026 UFD en Ferrol,https://www.xunta.gal/dog/Publicados/2026/20260407/AnuncioG0763-120326-0007_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
Bergondo,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 66/2026 UFD en Bergondo,https://www.xunta.gal/dog/Publicados/2026/20260410/AnuncioG0763-180326-0002_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación eléctrica en el ayuntamiento con beneficiaria UFD. No afirma exclusividad total.
Betanzos,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 156/2025 UFD en Betanzos,https://www.xunta.gal/dog/Publicados/2025/20250818/AnuncioG0763-240725-0015_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
Cambre,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 64/2026 UFD en Cambre,https://www.xunta.gal/dog/Publicados/2026/20260408/AnuncioG0763-180326-0003_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento a favor de UFD. No afirma exclusividad total.
Culleredo,A Coruña,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 151/2025 UFD en Culleredo,https://www.xunta.gal/dog/Publicados/2025/20250808/AnuncioG0763-170725-0003_es.html,official_public_notice,matched_dog_url_seed,DOG identifica instalación de distribución eléctrica en el ayuntamiento con promotora UFD. No afirma exclusividad total.
