municipio,province,dataset_id,candidate_distributor,confidence,source_name,source_url,source_type,review_status,notes
A Baña,A Coruña,galicia,"Industrial Barcalesa, S.L.",verified_partial,APYDE ficha pública,https://www.apyde.com/industrial-barcalesa/,sector_association_public,matched_apyde,APYDE lista zona de distribución. Revisar antes de pasar a producción.
A Capela,A Coruña,galicia,"Electra de Cabalar, S.L.",verified_partial,APYDE ficha pública,https://www.apyde.com/electracabalar/,sector_association_public,matched_apyde,APYDE lista zona de distribución. Revisar antes de pasar a producción.
A Laracha,A Coruña,galicia,Hidroeléctrica de Laracha S.L. | Unión Distribuidores Electricidad S.A. (Udesa),verified_partial,APYDE ficha pública,https://www.apyde.com/hidroelectrica-laracha/ | https://www.apyde.com/udesa/,sector_association_public,matched_apyde_multi,APYDE lista zona de distribución. Revisar antes de pasar a producción.
A Pobra do Caramiñal,A Coruña,galicia,,,,,,pending_review,
Abegondo,A Coruña,galicia,Unión Distribuidores Electricidad S.A. (Udesa),verified_partial,APYDE ficha pública,https://www.apyde.com/udesa/,sector_association_public,matched_apyde,APYDE lista zona de distribución. Revisar antes de pasar a producción.
Ames,A Coruña,galicia,,,,,,pending_review,
Aranga,A Coruña,galicia,,,,,,pending_review,
Ares,A Coruña,galicia,,,,,,pending_review,
Arteixo,A Coruña,galicia,Hidroeléctrica de Laracha S.L.,verified_partial,APYDE ficha pública,https://www.apyde.com/hidroelectrica-laracha/,sector_association_public,matched_apyde,APYDE lista zona de distribución. Revisar antes de pasar a producción.
Arzúa,A Coruña,galicia,Unión Distribuidores Electricidad S.A. (Udesa),verified_partial,APYDE ficha pública,https://www.apyde.com/udesa/,sector_association_public,matched_apyde,APYDE lista zona de distribución. Revisar antes de pasar a producción.
As Pontes de García Rodríguez,A Coruña,galicia,"Electra de Cabalar, S.L.",verified_partial,APYDE ficha pública,https://www.apyde.com/electracabalar/,sector_association_public,matched_apyde_manual_alias,APYDE lista zona de distribución. Revisar antes de pasar a producción.
As Somozas,A Coruña,galicia,,,,,,pending_review,
Bergondo,A Coruña,galicia,,,,,,pending_review,
Betanzos,A Coruña,galicia,,,,,,pending_review,
Boimorto,A Coruña,galicia,,,,,,pending_review,
Boiro,A Coruña,galicia,,,,,,pending_review,
Boqueixón,A Coruña,galicia,Eléctrica de Gres S.L. | Unión Distribuidores Electricidad S.A. (Udesa),verified_partial,APYDE ficha pública,https://www.apyde.com/electrica-gres/ | https://www.apyde.com/udesa/,sector_association_public,matched_apyde_multi,APYDE lista zona de distribución. Revisar antes de pasar a producción.
Brión,A Coruña,galicia,,,,,,pending_review,
Cabana de Bergantiños,A Coruña,galicia,,,,,,pending_review,
Cabanas,A Coruña,galicia,"Electra de Cabalar, S.L. | Eléctrica de Cabañas S.L.",verified_partial,APYDE ficha pública,https://www.apyde.com/electracabalar/ | https://www.apyde.com/electrica-cabanas/,sector_association_public,matched_apyde_multi,APYDE lista zona de distribución. Revisar antes de pasar a producción.
Camariñas,A Coruña,galicia,"Electra del Gayoso, S.L.",verified_partial,APYDE ficha pública,https://www.apyde.com/electra-gayoso/,sector_association_public,matched_apyde,APYDE lista zona de distribución. Revisar antes de pasar a producción.
Cambre,A Coruña,galicia,,,,,,pending_review,
Carballo,A Coruña,galicia,Hidroeléctrica de Laracha S.L. | Unión Distribuidores Electricidad S.A. (Udesa),verified_partial,APYDE ficha pública,https://www.apyde.com/hidroelectrica-laracha/ | https://www.apyde.com/udesa/,sector_association_public,matched_apyde_multi,APYDE lista zona de distribución. Revisar antes de pasar a producción.
Cariño,A Coruña,galicia,,,,,,pending_review,
Carnota,A Coruña,galicia,,,,,,pending_review,
Carral,A Coruña,galicia,Unión Distribuidores Electricidad S.A. (Udesa),verified_partial,APYDE ficha pública,https://www.apyde.com/udesa/,sector_association_public,matched_apyde,APYDE lista zona de distribución. Revisar antes de pasar a producción.
Cedeira,A Coruña,galicia,,,,,,pending_review,
Cee,A Coruña,galicia,,,,,,pending_review,
Cerceda,A Coruña,galicia,Unión Distribuidores Electricidad S.A. (Udesa),verified_partial,APYDE ficha pública,https://www.apyde.com/udesa/,sector_association_public,matched_apyde,APYDE lista zona de distribución. Revisar antes de pasar a producción.
Cerdido,A Coruña,galicia,Electra del Narahío S.A.,verified_partial,APYDE ficha pública,https://www.apyde.com/electra-narahio/,sector_association_public,matched_apyde,APYDE lista zona de distribución. Revisar antes de pasar a producción.
Coirós,A Coruña,galicia,,,,,,pending_review,
Corcubión,A Coruña,galicia,,,,,,pending_review,
Coristanco,A Coruña,galicia,,,,,,pending_review,
Culleredo,A Coruña,galicia,,,,,,pending_review,
Curtis,A Coruña,galicia,,,,,,pending_review,
Dodro,A Coruña,galicia,,,,,,pending_review,
Dumbría,A Coruña,galicia,,,,,,pending_review,
Fene,A Coruña,galicia,"Electra de Cabalar, S.L.",verified_partial,APYDE ficha pública,https://www.apyde.com/electracabalar/,sector_association_public,matched_apyde,APYDE lista zona de distribución. Revisar antes de pasar a producción.
Ferrol,A Coruña,galicia,,,,,,pending_review,
Fisterra,A Coruña,galicia,,,,,,pending_review,
Frades,A Coruña,galicia,Unión Distribuidores Electricidad S.A. (Udesa),verified_partial,APYDE ficha pública,https://www.apyde.com/udesa/,sector_association_public,matched_apyde,APYDE lista zona de distribución. Revisar antes de pasar a producción.
Irixoa,A Coruña,galicia,,,,,,pending_review,
Laxe,A Coruña,galicia,"Electra do Foxo, S.L.",verified_partial,APYDE ficha pública,https://www.apyde.com/electra-foxo/,sector_association_public,matched_apyde,APYDE lista zona de distribución. Revisar antes de pasar a producción.
Lousame,A Coruña,galicia,,,,,,pending_review,
Malpica de Bergantiños,A Coruña,galicia,,,,,,pending_review,
Mañón,A Coruña,galicia,,,,,,pending_review,
Mazaricos,A Coruña,galicia,"Industrial Barcalesa, S.L.",verified_partial,APYDE ficha pública,https://www.apyde.com/industrial-barcalesa/,sector_association_public,matched_apyde,APYDE lista zona de distribución. Revisar antes de pasar a producción.
Melide,A Coruña,galicia,Fuciños Rivas S.L.,verified_partial,APYDE ficha pública,https://www.apyde.com/rivas-sl/,sector_association_public,matched_apyde,APYDE lista zona de distribución. Revisar antes de pasar a producción.
