municipio,province,candidate_distributor,confidence,source_name,source_url,source_type,review_status,notes
Catoira,Pontevedra,"Eléctrica de Catoira, S.L.",verified_partial,DOG 1/2012 + CNMC TPE/DE/010/17,https://www.xunta.gal/dog/Publicados/2012/20120102/AnuncioCA04-241111-9094_es.html | https://www.cnmc.es/sites/default/files/1573768.pdf,official_public_notice_and_regulator,matched_official_manual,DOG verifica Distribuidora Eléctrica de Catoira en Catoira; CNMC documenta segregación de actividad de distribución hacia Eléctrica de Catoira. No afirma exclusividad total.
A Lama,Pontevedra,"Eléctrica de Moscoso, S.L.",verified_partial,CNMC C/1436/24 Grupo EHR/Moscoso,https://www.cnmc.es/sites/default/files/5198696.pdf,regulator_document,matched_official_manual,CNMC cita A Lama como municipio relacionado con Moscoso. No afirma exclusividad total.
Pazos de Borbén,Pontevedra,"Eléctrica de Moscoso, S.L.",verified_partial,CNMC C/1436/24 Grupo EHR/Moscoso,https://www.cnmc.es/sites/default/files/5198696.pdf,regulator_document,matched_official_manual,CNMC cita Pazos de Borbén como municipio relacionado con Moscoso. No afirma exclusividad total.
Cerdedo-Cotobade,Pontevedra,"Eléctrica de Moscoso, S.L.",verified_partial,CNMC C/1436/24 Grupo EHR/Moscoso,https://www.cnmc.es/sites/default/files/5198696.pdf,regulator_document,matched_official_manual,CNMC cita Cerdedo-Cotobade como municipio relacionado con Moscoso. No afirma exclusividad total.
Fornelos de Montes,Pontevedra,"Eléctrica de Moscoso, S.L.",verified_partial,CNMC C/1436/24 Grupo EHR/Moscoso,https://www.cnmc.es/sites/default/files/5198696.pdf,regulator_document,matched_official_manual,CNMC cita Fornelos de Montes como municipio relacionado con Moscoso. No afirma exclusividad total.
Mondariz,Pontevedra,"Eléctrica de Moscoso, S.L.",verified_partial,Eléctrica de Moscoso — información pública corporativa,https://www.emoscoso.com/,distributor_public_website,matched_official_manual,Web pública de Moscoso declara suministro en Mondariz. No afirma exclusividad total.
Melón,Ourense,"Distribuidora Eléctrica de Melón, S.L.",verified_partial,DOG 244/2022 Distribuidora Eléctrica de Melón,https://www.xunta.gal/dog/Publicados/2022/20221226/AnuncioV0653-301122-0008_es.html,official_public_notice,matched_official_manual,DOG identifica actuación de Distribuidora Eléctrica de Melón en el ayuntamiento de Melón. No afirma exclusividad total.
A Arnoia,Ourense,"Electra Alto Miño Distribuidora de Energía, S.L.",verified_partial,DOG 223/2022 Electra Alto Miño,https://www.xunta.gal/dog/Publicados/2022/20221123/AnuncioV0653-281022-0007_es.html,official_public_notice,matched_official_manual,DOG identifica actuación de Electra Alto Miño en A Arnoia. No afirma exclusividad total.
Salvaterra de Miño,Pontevedra,"Electra Alto Miño Distribuidora de Energía, S.L.",verified_partial,DOG 51/2018 Electra Alto Miño,https://www.xunta.gal/dog/Publicados/2018/20180313/AnuncioG0424-141217-0002_es.html,official_public_notice,matched_official_manual,DOG identifica actuación de Electra Alto Miño en Salvaterra de Miño. No afirma exclusividad total.
Vigo,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 68/2026 UFD en Vigo,https://www.xunta.gal/dog/Publicados/2026/20260414/AnuncioG0763-060426-0001_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica UFD como distribuidora de zona en el ayuntamiento. No afirma exclusividad total.
Valga,Pontevedra,"UFD Distribución Electricidad, S.A.",verified_partial,DOG 162/2025 UFD en Valga,https://www.xunta.gal/dog/Publicados/2025/20250826/AnuncioG0763-040825-0006_es.html,official_public_notice,matched_dog_ufd_manual,DOG identifica actuación de UFD en el ayuntamiento. No afirma exclusividad total.
