municipio,province,candidate_distributor,confidence,source_name,source_url,source_type,review_status,notes
Irixoa,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
Lousame,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
Mañón,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
Muxía,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
Ortigueira,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
Paderne,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
Ponteceso,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
Pontedeume,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
Sobrado,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
Toques,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
Trazo,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
Vilasantar,A Coruña,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
A Bola,Ourense,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
A Gudiña,Ourense,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
A Merca,Ourense,"UFD Distribución Electricidad, S.A.",regional_default,UFD/Naturgy presencia regional Galicia,https://www.naturgy.com/notas-de-prensa/gerardo-rodriguez-nuevo-delegado-de-naturgy-en-galicia/ | https://www.ufd.es/quienes-somos/donde-estamos/,regional_corporate_and_distributor_public_info,matched_regional_default_ufd,Asignación regional orientativa: UFD declara servicio en 286 municipios gallegos y ofrece comprobación por mapa/CUPS. No es verificación municipal; no afirma exclusividad total.
